iter	Passed	Remaining
436	1222	1574
437	1224	1571
438	1226	1566
439	1227	1562
440	1229	1558
441	1231	1554
442	1232	1549
443	1234	1546
444	1236	1542
445	1238	1538
446	1239	1533
447	1241	1529
448	1243	1525
449	1244	1521
450	1246	1517
451	1247	1512
452	1249	1509
453	1251	1504
454	1252	1500
455	1254	1496
456	1255	1492
457	1257	1488
458	1259	1484
459	1260	1480
460	1262	1476
461	1264	1472
462	1266	1468
463	1267	1464
464	1269	1460
465	1270	1456
466	1272	1452
467	1273	1448
468	1275	1444
469	1276	1439
470	1278	1436
471	1280	1432
472	1282	1428
473	1283	1424
474	1285	1420
475	1286	1416
476	1288	1412
477	1289	1408
478	1291	1404
479	1293	1401
480	1295	1397
481	1296	1393
482	1298	1389
483	1299	1385
484	1301	1381
485	1302	1377
486	1304	1374
487	1306	1370
488	1308	1367
489	1310	1363
490	1311	1360
491	1313	1356
492	1315	1352
493	1317	1349
494	1319	1346
495	1321	1343
496	1323	1339
497	1325	1336
498	1327	1332
499	1330	1330
500	1332	1326
501	1333	1323
502	1335	1319
503	1337	1316
504	1338	1312
505	1340	1308
506	1341	1304
507	1343	1301
508	1345	1297
509	1346	1294
510	1348	1290
511	1349	1286
512	1351	1283
513	1353	1279
514	1354	1275
515	1356	1272
516	1357	1268
517	1359	1264
518	1360	1261
519	1362	1257
520	1363	1253
521	1365	1250
522	1367	1247
523	1369	1243
524	1370	1240
525	1372	1236
526	1373	1232
527	1375	1229
528	1376	1225
529	1378	1222
530	1379	1218
531	1381	1215
532	1382	1211
533	1384	1208
534	1386	1204
535	1387	1201
536	1388	1197
537	1390	1194
538	1392	1190
539	1393	1187
540	1395	1184
541	1397	1180
542	1398	1177
543	1400	1173
544	1401	1170
545	1403	1167
546	1405	1164
547	1407	1160
548	1409	1157
549	1411	1154
550	1412	1151
551	1414	1147
552	1415	1144
553	1417	1141
554	1418	1137
555	1420	1134
556	1421	1130
557	1423	1127
558	1425	1124
559	1426	1121
560	1428	1117
561	1429	1114
562	1431	1111
563	1433	1107
564	1434	1104
565	1436	1101
566	1437	1097
567	1439	1094
568	1441	1091
569	1442	1088
570	1444	1085
571	1445	1081
572	1447	1078
573	1449	1075
574	1450	1072
575	1452	1069
576	1454	1066
577	1455	1062
578	1457	1059
579	1458	1056
580	1460	1053
581	1461	1049
582	1463	1046
583	1464	1043
584	1466	1040
585	1467	1037
586	1469	1034
587	1471	1030
588	1473	1027
589	1474	1024
590	1476	1021
591	1477	1018
592	1478	1015
593	1480	1011
594	1481	1008
595	1485	1006
596	1486	1003
597	1488	1000
598	1491	998
599	1492	995
600	1494	992
601	1496	989
602	1499	986
603	1500	983
604	1502	980
605	1504	978
606	1506	975
607	1507	972
608	1509	969
609	1510	965
610	1512	963
611	1515	960
612	1516	957
613	1518	954
614	1520	951
615	1521	948
616	1523	945
617	1524	942
618	1526	939
619	1528	936
620	1530	934
621	1531	931
622	1533	928
623	1535	924
624	1536	921
625	1537	918
626	1539	915
627	1541	912
628	1542	910
629	1544	907
630	1546	904
631	1548	901
632	1549	898
633	1551	895
634	1552	892
635	1554	889
636	1555	886
637	1557	883
638	1559	880
639	1560	877
640	1562	874
641	1563	871
642	1565	869
643	1566	866
644	1568	863
645	1569	860
646	1571	857
647	1573	854
648	1574	851
649	1576	848
650	1577	845
651	1579	842
652	1580	840
653	1582	837
654	1583	834
655	1585	831
656	1587	828
657	1589	826
658	1591	823
659	1592	820
660	1594	817
661	1596	815
662	1597	812
663	1599	809
664	1601	806
665	1602	803
666	1604	800
667	1606	798
668	1607	795
669	1609	792
670	1611	789
671	1612	787
672	1614	784
673	1616	781
674	1617	778
675	1619	776
676	1620	773
677	1627	772
678	1631	771
679	1637	770
680	1647	771
681	1652	770
682	1657	769
683	1662	768
684	1668	767
685	1673	766
686	1678	764
687	1685	764
688	1690	763
689	1695	761
690	1703	761
691	1708	760
692	1714	759
693	1719	758
694	1724	756
695	1731	756
696	1735	754
697	1740	752
698	1745	751
699	1750	750
700	1754	748
701	1760	747
702	1765	745
703	1769	744
704	1775	742
705	1782	742
706	1786	740
707	1791	738
708	1794	736
709	1797	734
710	1800	731
711	1802	729
712	1804	726
713	1806	723
714	1808	720
715	1809	717
716	1811	714
717	1812	711
718	1814	708
719	1815	706
720	1817	703
721	1818	700
722	1820	697
723	1821	694
724	1822	691
725	1824	688
726	1826	685
727	1828	683
728	1830	680
729	1831	677
730	1833	674
731	1834	671
732	1836	668
733	1837	666
734	1839	663
735	1841	660
736	1843	657
737	1845	655
738	1846	652
739	1849	649
740	1850	646
741	1852	644
742	1853	641
743	1855	638
744	1857	635
745	1858	632
746	1861	630
747	1863	627
748	1865	625
749	1866	622
750	1868	619
751	1870	616
752	1871	613
753	1872	611
754	1874	608
755	1876	605
756	1877	602
757	1879	600
758	1880	597
759	1882	594
760	1883	591
761	1885	588
762	1886	586
763	1888	583
764	1890	580
765	1891	577
766	1892	574
767	1894	572
768	1895	569
769	1897	566
770	1898	563
771	1900	561
772	1901	558
773	1903	555
774	1904	553
775	1906	550
776	1907	547
777	1909	544
778	1910	542
779	1912	539
780	1914	536
781	1915	533
782	1916	531
783	1918	528
784	1920	525
785	1921	523
786	1922	520
787	1925	517
788	1926	515
789	1928	512
790	1930	510
791	1931	507
792	1933	504
793	1935	502
794	1936	499
795	1938	496
796	1939	494
797	1941	491
798	1942	488
799	1944	486
800	1945	483
801	1946	480
802	1948	478
803	1949	475
804	1951	472
805	1952	470
806	1954	467
807	1955	464
808	1957	462
809	1958	459
810	1960	456
811	1961	454
812	1963	451
813	1964	448
814	1966	446
815	1967	443
816	1969	441
817	1970	438
818	1971	435
819	1973	433
820	1974	430
821	1976	427
822	1977	425
823	1979	422
824	1980	420
825	1982	417
826	1983	414
827	1984	412
828	1986	409
829	1988	407
830	1989	404
831	1991	402
832	1992	399
833	1994	396
834	1995	394
835	1996	391
836	1998	389
837	1999	386
838	2001	384
839	2002	381
840	2004	379
841	2006	376
842	2008	374
843	2009	371
844	2011	368
845	2012	366
846	2014	363
847	2016	361
848	2017	358
849	2019	356
850	2021	353
851	2022	351
852	2024	348
853	2026	346
854	2028	343
855	2029	341
856	2031	338
857	2032	336
858	2034	333
859	2036	331
860	2038	329
861	2039	326
862	2040	323
863	2042	321
864	2043	318
865	2044	316
866	2046	313
867	2047	311
868	2049	308
869	2051	306
870	2052	304
871	2054	301
872	2055	299
873	2056	296
874	2058	294
875	2059	291
876	2061	289
877	2062	286
878	2064	284
879	2065	281
880	2067	279
881	2068	276
882	2070	274
883	2071	271
884	2073	269
885	2074	266
886	2076	264
887	2077	262
888	2078	259
889	2080	257
890	2082	254
891	2083	252
892	2085	249
893	2086	247
894	2087	244
895	2089	242
896	2090	240
897	2091	237
898	2093	235
899	2095	232
900	2096	230
901	2098	227
902	2099	225
903	2101	223
904	2102	220
905	2104	218
906	2105	215
907	2106	213
908	2108	211
909	2110	208
910	2111	206
911	2113	203
912	2115	201
913	2116	199
914	2118	196
915	2119	194
916	2121	191
917	2122	189
918	2123	187
919	2125	184
920	2127	182
921	2128	180
922	2130	177
923	2131	175
924	2133	172
925	2134	170
926	2135	168
927	2137	165
928	2139	163
929	2140	161
930	2142	158
931	2143	156
932	2145	154
933	2146	151
934	2147	149
935	2149	146
936	2151	144
937	2152	142
938	2154	139
939	2156	137
940	2158	135
941	2159	132
942	2160	130
943	2162	128
944	2163	125
945	2165	123
946	2166	121
947	2168	118
948	2169	116
949	2171	114
950	2172	111
951	2174	109
952	2175	107
953	2177	104
954	2178	102
955	2180	100
956	2181	98
957	2184	95
958	2186	93
959	2187	91
960	2188	88
961	2190	86
962	2191	84
963	2193	81
964	2195	79
965	2197	77
966	2199	75
967	2200	72
968	2202	70
969	2204	68
970	2206	65
971	2207	63
972	2209	61
973	2210	59
974	2212	56
975	2214	54
976	2216	52
977	2218	49
978	2220	47
979	2221	45
980	2223	43
981	2225	40
982	2227	38
983	2229	36
984	2230	33
985	2231	31
986	2233	29
987	2234	27
988	2236	24
989	2237	22
990	2239	20
991	2240	18
992	2242	15
993	2244	13
994	2245	11
995	2247	9
996	2248	6
997	2250	4
998	2251	2
999	2252	0
